MetricKey,Metric,Source_Category
766,"Businesses with a broadband download speed at least 100 Mbit/s (Real estate activities, 10 or more)",Economy
767,"Businesses with a broadband download speed at least 100 Mbit/s (Retail trade, except of motor vehicles and motorcycles, 10 or more)",Economy
768,"Businesses with a broadband download speed at least 100 Mbit/s (Total - all activities, 10 or more)",Economy
769,"Businesses with a broadband download speed at least 100 Mbit/s (Total - all activities, 250 or more)",Economy
770,"Businesses with a broadband download speed at least 100 Mbit/s (Total - all activities, From 10 to 49)",Economy
771,"Businesses with a broadband download speed at least 100 Mbit/s (Total - all activities, From 50 to 249)",Economy
772,"Businesses with a broadband download speed at least 100 Mbit/s (Transportation and storage, 10 or more)",Economy
773,"Businesses with a broadband download speed at least 100 Mbit/s (Wholesale trade, except of motor vehicles and motorcycles, 10 or more)",Economy
774,"Businesses with a broadband download speed at least 100 Mbit/s but less than 500 Mbit/s (Accommodation and food service activities, 10 or more)",Economy
775,"Businesses with a broadband download speed at least 100 Mbit/s but less than 500 Mbit/s (Administrative and support service activities, 10 or more)",Economy
776,"Businesses with a broadband download speed at least 100 Mbit/s but less than 500 Mbit/s (Construction, 10 or more)",Economy
777,"Businesses with a broadband download speed at least 100 Mbit/s but less than 500 Mbit/s (Information and communication, 10 or more)",Economy
778,"Businesses with a broadband download speed at least 100 Mbit/s but less than 500 Mbit/s (Manufacturing, 10 or more)",Economy
779,"Businesses with a broadband download speed at least 100 Mbit/s but less than 500 Mbit/s (Professional, scientific and technical activities, 10 or more)",Economy
780,"Businesses with a broadband download speed at least 100 Mbit/s but less than 500 Mbit/s (Real estate activities, 10 or more)",Economy
781,"Businesses with a broadband download speed at least 100 Mbit/s but less than 500 Mbit/s (Retail trade, except of motor vehicles and motorcycles, 10 or more)",Economy
782,"Businesses with a broadband download speed at least 100 Mbit/s but less than 500 Mbit/s (Total - all activities, 10 or more)",Economy
783,"Businesses with a broadband download speed at least 100 Mbit/s but less than 500 Mbit/s (Total - all activities, 250 or more)",Economy
784,"Businesses with a broadband download speed at least 100 Mbit/s but less than 500 Mbit/s (Total - all activities, From 10 to 49)",Economy
785,"Businesses with a broadband download speed at least 100 Mbit/s but less than 500 Mbit/s (Total - all activities, From 50 to 249)",Economy
786,"Businesses with a broadband download speed at least 100 Mbit/s but less than 500 Mbit/s (Transportation and storage, 10 or more)",Economy
787,"Businesses with a broadband download speed at least 100 Mbit/s but less than 500 Mbit/s (Wholesale trade, except of motor vehicles and motorcycles, 10 or more)",Economy
788,"Businesses with a broadband download speed at least 2 Mbit/s but less than 10 Mbit/s (Accommodation and food service activities, 10 or more)",Economy
789,"Businesses with a broadband download speed at least 2 Mbit/s but less than 10 Mbit/s (Administrative and support service activities, 10 or more)",Economy
790,"Businesses with a broadband download speed at least 2 Mbit/s but less than 10 Mbit/s (Construction, 10 or more)",Economy
791,"Businesses with a broadband download speed at least 2 Mbit/s but less than 10 Mbit/s (Financial and insurance activities, 10 or more)",Economy
792,"Businesses with a broadband download speed at least 2 Mbit/s but less than 10 Mbit/s (Information and communication, 10 or more)",Economy
793,"Businesses with a broadband download speed at least 2 Mbit/s but less than 10 Mbit/s (Manufacturing, 10 or more)",Economy
794,"Businesses with a broadband download speed at least 2 Mbit/s but less than 10 Mbit/s (Professional, scientific and technical activities, 10 or more)",Economy
795,"Businesses with a broadband download speed at least 2 Mbit/s but less than 10 Mbit/s (Real estate activities, 10 or more)",Economy
796,"Businesses with a broadband download speed at least 2 Mbit/s but less than 10 Mbit/s (Retail trade, except of motor vehicles and motorcycles, 10 or more)",Economy
797,"Businesses with a broadband download speed at least 2 Mbit/s but less than 10 Mbit/s (Total - all activities, 10 or more)",Economy
798,"Businesses with a broadband download speed at least 2 Mbit/s but less than 10 Mbit/s (Total - all activities, 250 or more)",Economy
799,"Businesses with a broadband download speed at least 2 Mbit/s but less than 10 Mbit/s (Total - all activities, From 10 to 49)",Economy
800,"Businesses with a broadband download speed at least 2 Mbit/s but less than 10 Mbit/s (Total - all activities, From 50 to 249)",Economy
801,"Businesses with a broadband download speed at least 2 Mbit/s but less than 10 Mbit/s (Transportation and storage, 10 or more)",Economy
802,"Businesses with a broadband download speed at least 2 Mbit/s but less than 10 Mbit/s (Wholesale trade, except of motor vehicles and motorcycles, 10 or more)",Economy
803,"Businesses with a broadband download speed at least 30 Mbit/s (Accommodation and food service activities, 10 or more)",Economy
804,"Businesses with a broadband download speed at least 30 Mbit/s (Administrative and support service activities, 10 or more)",Economy
805,"Businesses with a broadband download speed at least 30 Mbit/s (Construction, 10 or more)",Economy
806,"Businesses with a broadband download speed at least 30 Mbit/s (Financial and insurance activities, 10 or more)",Economy
807,"Businesses with a broadband download speed at least 30 Mbit/s (Information and communication, 10 or more)",Economy
808,"Businesses with a broadband download speed at least 30 Mbit/s (Manufacturing, 10 or more)",Economy
809,"Businesses with a broadband download speed at least 30 Mbit/s (Professional, scientific and technical activities, 10 or more)",Economy
810,"Businesses with a broadband download speed at least 30 Mbit/s (Real estate activities, 10 or more)",Economy
811,"Businesses with a broadband download speed at least 30 Mbit/s (Retail trade, except of motor vehicles and motorcycles, 10 or more)",Economy
812,"Businesses with a broadband download speed at least 30 Mbit/s (Total - all activities, 10 or more)",Economy
813,"Businesses with a broadband download speed at least 30 Mbit/s (Total - all activities, 250 or more)",Economy
814,"Businesses with a broadband download speed at least 30 Mbit/s (Total - all activities, From 10 to 49)",Economy
815,"Businesses with a broadband download speed at least 30 Mbit/s (Total - all activities, From 50 to 249)",Economy
816,"Businesses with a broadband download speed at least 30 Mbit/s (Transportation and storage, 10 or more)",Economy
817,"Businesses with a broadband download speed at least 30 Mbit/s (Wholesale trade, except of motor vehicles and motorcycles, 10 or more)",Economy
818,"Businesses with a broadband download speed at least 30 Mbit/s but less than 100 Mbit/s (Accommodation and food service activities, 10 or more)",Economy
819,"Businesses with a broadband download speed at least 30 Mbit/s but less than 100 Mbit/s (Administrative and support service activities, 10 or more)",Economy
820,"Businesses with a broadband download speed at least 30 Mbit/s but less than 100 Mbit/s (Construction, 10 or more)",Economy
821,"Businesses with a broadband download speed at least 30 Mbit/s but less than 100 Mbit/s (Financial and insurance activities, 10 or more)",Economy
822,"Businesses with a broadband download speed at least 30 Mbit/s but less than 100 Mbit/s (Information and communication, 10 or more)",Economy
823,"Businesses with a broadband download speed at least 30 Mbit/s but less than 100 Mbit/s (Manufacturing, 10 or more)",Economy
824,"Businesses with a broadband download speed at least 30 Mbit/s but less than 100 Mbit/s (Professional, scientific and technical activities, 10 or more)",Economy
825,"Businesses with a broadband download speed at least 30 Mbit/s but less than 100 Mbit/s (Real estate activities, 10 or more)",Economy
826,"Businesses with a broadband download speed at least 30 Mbit/s but less than 100 Mbit/s (Retail trade, except of motor vehicles and motorcycles, 10 or more)",Economy
827,"Businesses with a broadband download speed at least 30 Mbit/s but less than 100 Mbit/s (Total - all activities, 10 or more)",Economy
828,"Businesses with a broadband download speed at least 30 Mbit/s but less than 100 Mbit/s (Total - all activities, 250 or more)",Economy
829,"Businesses with a broadband download speed at least 30 Mbit/s but less than 100 Mbit/s (Total - all activities, From 10 to 49)",Economy
830,"Businesses with a broadband download speed at least 30 Mbit/s but less than 100 Mbit/s (Total - all activities, From 50 to 249)",Economy
831,"Businesses with a broadband download speed at least 30 Mbit/s but less than 100 Mbit/s (Transportation and storage, 10 or more)",Economy
832,"Businesses with a broadband download speed at least 30 Mbit/s but less than 100 Mbit/s (Wholesale trade, except of motor vehicles and motorcycles, 10 or more)",Economy
833,"Businesses with a broadband download speed at least 500 Mbit/s but less than 1 Gbit/s (Accommodation and food service activities, 10 or more)",Economy
834,"Businesses with a broadband download speed at least 500 Mbit/s but less than 1 Gbit/s (Administrative and support service activities, 10 or more)",Economy
835,"Businesses with a broadband download speed at least 500 Mbit/s but less than 1 Gbit/s (Construction, 10 or more)",Economy
836,"Businesses with a broadband download speed at least 500 Mbit/s but less than 1 Gbit/s (Information and communication, 10 or more)",Economy
837,"Businesses with a broadband download speed at least 500 Mbit/s but less than 1 Gbit/s (Manufacturing, 10 or more)",Economy
838,"Businesses with a broadband download speed at least 500 Mbit/s but less than 1 Gbit/s (Professional, scientific and technical activities, 10 or more)",Economy
839,"Businesses with a broadband download speed at least 500 Mbit/s but less than 1 Gbit/s (Real estate activities, 10 or more)",Economy
840,"Businesses with a broadband download speed at least 500 Mbit/s but less than 1 Gbit/s (Retail trade, except of motor vehicles and motorcycles, 10 or more)",Economy
841,"Businesses with a broadband download speed at least 500 Mbit/s but less than 1 Gbit/s (Total - all activities, 10 or more)",Economy
842,"Businesses with a broadband download speed at least 500 Mbit/s but less than 1 Gbit/s (Total - all activities, 250 or more)",Economy
843,"Businesses with a broadband download speed at least 500 Mbit/s but less than 1 Gbit/s (Total - all activities, From 10 to 49)",Economy
844,"Businesses with a broadband download speed at least 500 Mbit/s but less than 1 Gbit/s (Total - all activities, From 50 to 249)",Economy
845,"Businesses with a broadband download speed at least 500 Mbit/s but less than 1 Gbit/s (Transportation and storage, 10 or more)",Economy
846,"Businesses with a broadband download speed at least 500 Mbit/s but less than 1 Gbit/s (Wholesale trade, except of motor vehicles and motorcycles, 10 or more)",Economy
847,"Businesses with a broadband download speed less than 2 Mbit/s (Accommodation and food service activities, 10 or more)",Economy
848,"Businesses with a broadband download speed less than 2 Mbit/s (Administrative and support service activities, 10 or more)",Economy
849,"Businesses with a broadband download speed less than 2 Mbit/s (Construction, 10 or more)",Economy
850,"Businesses with a broadband download speed less than 2 Mbit/s (Financial and insurance activities, 10 or more)",Economy
851,"Businesses with a broadband download speed less than 2 Mbit/s (Information and communication, 10 or more)",Economy
852,"Businesses with a broadband download speed less than 2 Mbit/s (Manufacturing, 10 or more)",Economy
853,"Businesses with a broadband download speed less than 2 Mbit/s (Professional, scientific and technical activities, 10 or more)",Economy
854,"Businesses with a broadband download speed less than 2 Mbit/s (Real estate activities, 10 or more)",Economy
855,"Businesses with a broadband download speed less than 2 Mbit/s (Retail trade, except of motor vehicles and motorcycles, 10 or more)",Economy
856,"Businesses with a broadband download speed less than 2 Mbit/s (Total - all activities, 10 or more)",Economy
857,"Businesses with a broadband download speed less than 2 Mbit/s (Total - all activities, 250 or more)",Economy
858,"Businesses with a broadband download speed less than 2 Mbit/s (Total - all activities, From 10 to 49)",Economy
859,"Businesses with a broadband download speed less than 2 Mbit/s (Total - all activities, From 50 to 249)",Economy
860,"Businesses with a broadband download speed less than 2 Mbit/s (Transportation and storage, 10 or more)",Economy
861,"Businesses with a broadband download speed less than 2 Mbit/s (Wholesale trade, except of motor vehicles and motorcycles, 10 or more)",Economy
862,"Businesses with a broadband download speed less than 30 Mbit/s (Accommodation and food service activities, 10 or more)",Economy
863,"Businesses with a broadband download speed less than 30 Mbit/s (Administrative and support service activities, 10 or more)",Economy
864,"Businesses with a broadband download speed less than 30 Mbit/s (Construction, 10 or more)",Economy
865,"Businesses with a broadband download speed less than 30 Mbit/s (Financial and insurance activities, 10 or more)",Economy
866,"Businesses with a broadband download speed less than 30 Mbit/s (Information and communication, 10 or more)",Economy
867,"Businesses with a broadband download speed less than 30 Mbit/s (Manufacturing, 10 or more)",Economy
868,"Businesses with a broadband download speed less than 30 Mbit/s (Professional, scientific and technical activities, 10 or more)",Economy
869,"Businesses with a broadband download speed less than 30 Mbit/s (Real estate activities, 10 or more)",Economy
870,"Businesses with a broadband download speed less than 30 Mbit/s (Retail trade, except of motor vehicles and motorcycles, 10 or more)",Economy
871,"Businesses with a broadband download speed less than 30 Mbit/s (Total - all activities, 10 or more)",Economy
872,"Businesses with a broadband download speed less than 30 Mbit/s (Total - all activities, 250 or more)",Economy
873,"Businesses with a broadband download speed less than 30 Mbit/s (Total - all activities, From 10 to 49)",Economy
874,"Businesses with a broadband download speed less than 30 Mbit/s (Total - all activities, From 50 to 249)",Economy
875,"Businesses with a broadband download speed less than 30 Mbit/s (Transportation and storage, 10 or more)",Economy
876,"Businesses with a broadband download speed less than 30 Mbit/s (Wholesale trade, except of motor vehicles and motorcycles, 10 or more)",Economy
877,"Businesses with a mobile broadband connection (Accommodation and food service activities, 10 or more)",Economy
878,"Businesses with a mobile broadband connection (Administrative and support service activities, 10 or more)",Economy
879,"Businesses with a mobile broadband connection (Construction, 10 or more)",Economy
880,"Businesses with a mobile broadband connection (Financial and insurance activities, 10 or more)",Economy
881,"Businesses with a mobile broadband connection (Information and communication, 10 or more)",Economy
882,"Businesses with a mobile broadband connection (Manufacturing, 10 or more)",Economy
883,"Businesses with a mobile broadband connection (Professional, scientific and technical activities, 10 or more)",Economy
884,"Businesses with a mobile broadband connection (Real estate activities, 10 or more)",Economy
885,"Businesses with a mobile broadband connection (Retail trade, except of motor vehicles and motorcycles, 10 or more)",Economy
886,"Businesses with a mobile broadband connection (Total - all activities, 10 or more)",Economy
887,"Businesses with a mobile broadband connection (Total - all activities, 250 or more)",Economy
888,"Businesses with a mobile broadband connection (Total - all activities, From 10 to 49)",Economy
889,"Businesses with a mobile broadband connection (Total - all activities, From 50 to 249)",Economy
890,"Businesses with a mobile broadband connection (Transportation and storage, 10 or more)",Economy
891,"Businesses with a mobile broadband connection (Wholesale trade, except of motor vehicles and motorcycles, 10 or more)",Economy
892,"Businesses with a website allowing for online ordering or reservation or booking (e.g. shopping cart) (Accommodation and food service activities, 10 or more)",Economy
893,"Businesses with a website allowing for online ordering or reservation or booking (e.g. shopping cart) (Administrative and support service activities, 10 or more)",Economy
894,"Businesses with a website allowing for online ordering or reservation or booking (e.g. shopping cart) (Construction, 10 or more)",Economy
895,"Businesses with a website allowing for online ordering or reservation or booking (e.g. shopping cart) (Financial and insurance activities, 10 or more)",Economy
896,"Businesses with a website allowing for online ordering or reservation or booking (e.g. shopping cart) (Information and communication, 10 or more)",Economy
897,"Businesses with a website allowing for online ordering or reservation or booking (e.g. shopping cart) (Manufacturing, 10 or more)",Economy
898,"Businesses with a website allowing for online ordering or reservation or booking (e.g. shopping cart) (Professional, scientific and technical activities, 10 or more)",Economy
899,"Businesses with a website allowing for online ordering or reservation or booking (e.g. shopping cart) (Real estate activities, 10 or more)",Economy
900,"Businesses with a website allowing for online ordering or reservation or booking (e.g. shopping cart) (Retail trade, except of motor vehicles and motorcycles, 10 or more)",Economy
901,"Businesses with a website allowing for online ordering or reservation or booking (e.g. shopping cart) (Total - all activities, 10 or more)",Economy
902,"Businesses with a website allowing for online ordering or reservation or booking (e.g. shopping cart) (Total - all activities, 250 or more)",Economy
903,"Businesses with a website allowing for online ordering or reservation or booking (e.g. shopping cart) (Total - all activities, From 10 to 49)",Economy
904,"Businesses with a website allowing for online ordering or reservation or booking (e.g. shopping cart) (Total - all activities, From 50 to 249)",Economy
905,"Businesses with a website allowing for online ordering or reservation or booking (e.g. shopping cart) (Transportation and storage, 10 or more)",Economy
906,"Businesses with a website allowing for online ordering or reservation or booking (e.g. shopping cart) (Wholesale trade, except of motor vehicles and motorcycles, 10 or more)",Economy
907,"Businesses with a website or home page (Accommodation and food service activities, 10 or more)",Economy
908,"Businesses with a website or home page (Administrative and support service activities, 10 or more)",Economy
909,"Businesses with a website or home page (Construction, 10 or more)",Economy
910,"Businesses with a website or home page (Financial and insurance activities, 10 or more)",Economy
911,"Businesses with a website or home page (Information and communication, 10 or more)",Economy
912,"Businesses with a website or home page (Manufacturing, 10 or more)",Economy
913,"Businesses with a website or home page (Professional, scientific and technical activities, 10 or more)",Economy
914,"Businesses with a website or home page (Real estate activities, 10 or more)",Economy
915,"Businesses with a website or home page (Retail trade, except of motor vehicles and motorcycles, 10 or more)",Economy
916,"Businesses with a website or home page (Total - all activities, 10 or more)",Economy
917,"Businesses with a website or home page (Total - all activities, 100 or more)",Economy
918,"Businesses with a website or home page (Total - all activities, 250 or more)",Economy
919,"Businesses with a website or home page (Total - all activities, 300 or more)",Economy
920,"Businesses with a website or home page (Total - all activities, From 10 to 49)",Economy
921,"Businesses with a website or home page (Total - all activities, From 100 to 299)",Economy
922,"Businesses with a website or home page (Total - all activities, From 50 to 249)",Economy
923,"Businesses with a website or home page (Transportation and storage, 10 or more)",Economy
924,"Businesses with a website or home page (Wholesale trade, except of motor vehicles and motorcycles, 10 or more)",Economy
925,"Businesses with a wired or fixed wireless broadband connection (Accommodation and food service activities, 10 or more)",Economy
926,"Businesses with a wired or fixed wireless broadband connection (Administrative and support service activities, 10 or more)",Economy
927,"Businesses with a wired or fixed wireless broadband connection (Construction, 10 or more)",Economy
928,"Businesses with a wired or fixed wireless broadband connection (Financial and insurance activities, 10 or more)",Economy
929,"Businesses with a wired or fixed wireless broadband connection (Information and communication, 10 or more)",Economy
930,"Businesses with a wired or fixed wireless broadband connection (Manufacturing, 10 or more)",Economy
931,"Businesses with a wired or fixed wireless broadband connection (Professional, scientific and technical activities, 10 or more)",Economy
932,"Businesses with a wired or fixed wireless broadband connection (Real estate activities, 10 or more)",Economy
933,"Businesses with a wired or fixed wireless broadband connection (Retail trade, except of motor vehicles and motorcycles, 10 or more)",Economy
934,"Businesses with a wired or fixed wireless broadband connection (Total - all activities, 10 or more)",Economy
935,"Businesses with a wired or fixed wireless broadband connection (Total - all activities, 250 or more)",Economy
936,"Businesses with a wired or fixed wireless broadband connection (Total - all activities, From 10 to 49)",Economy
937,"Businesses with a wired or fixed wireless broadband connection (Total - all activities, From 50 to 249)",Economy
938,"Businesses with a wired or fixed wireless broadband connection (Transportation and storage, 10 or more)",Economy
939,"Businesses with a wired or fixed wireless broadband connection (Wholesale trade, except of motor vehicles and motorcycles, 10 or more)",Economy
940,"Businesses with formal policy to manage ICT privacy risks (Accommodation and food service activities, 10 or more)",Economy
941,"Businesses with formal policy to manage ICT privacy risks (Administrative and support service activities, 10 or more)",Economy
942,"Businesses with formal policy to manage ICT privacy risks (Construction, 10 or more)",Economy
943,"Businesses with formal policy to manage ICT privacy risks (Financial and insurance activities, 10 or more)",Economy
944,"Businesses with formal policy to manage ICT privacy risks (Information and communication, 10 or more)",Economy
945,"Businesses with formal policy to manage ICT privacy risks (Manufacturing, 10 or more)",Economy
946,"Businesses with formal policy to manage ICT privacy risks (Professional, scientific and technical activities, 10 or more)",Economy
947,"Businesses with formal policy to manage ICT privacy risks (Real estate activities, 10 or more)",Economy
948,"Businesses with formal policy to manage ICT privacy risks (Retail trade, except of motor vehicles and motorcycles, 10 or more)",Economy
949,"Businesses with formal policy to manage ICT privacy risks (Total - all activities, 10 or more)",Economy
950,"Businesses with formal policy to manage ICT privacy risks (Total - all activities, 250 or more)",Economy
951,"Businesses with formal policy to manage ICT privacy risks (Total - all activities, From 10 to 49)",Economy
952,"Businesses with formal policy to manage ICT privacy risks (Total - all activities, From 50 to 249)",Economy
953,"Businesses with formal policy to manage ICT privacy risks (Transportation and storage, 10 or more)",Economy
954,"Businesses with formal policy to manage ICT privacy risks (Wholesale trade, except of motor vehicles and motorcycles, 10 or more)",Economy
955,COEFFICIENTS: Government Actions,Responsible AI
956,COEFFICIENTS: Government Frameworks,Responsible AI
957,COEFFICIENTS: Non-state Actors,Responsible AI
958,Coursera: AI Maturity Index,Human Capital/Education
959,Coursera: Business Proficiency Score,Human Capital/Education
960,Coursera: Data Science Proficiency Score,Human Capital/Education
961,Coursera: Technology Proficiency Score,Human Capital/Education
962,DIMENSION SCORES: Human Rights and AI,Responsible AI
963,DIMENSION SCORES: Responsible AI Capacities,Responsible AI
964,DIMENSION SCORES: Responsible AI Governance,Responsible AI
965,Data center electricity consumption (TWh),Technological/Infrastructural
966,Data center hub capacity - Operating (MW),Technological/Infrastructural
967,Data center hub capacity - Planned (MW),Technological/Infrastructural
968,Digital Maturity Index (%),Scientific/Educational
969,Digital Maturity Index (%),Legal/Regulatory
970,Digital Maturity Index (%),Technological/Infrastructural
971,Digital Maturity Index (%),Social/Cultural
972,Field Weighted Citation Impact: All,Research and Development
973,Field Weighted Citation Impact: Institutional,Research and Development
974,Field Weighted Citation Impact: International,Research and Development
975,Field Weighted Citation Impact: National,Research and Development
976,Field Weighted Citation Impact: Single_Author,Research and Development
977,"Funding In US Dollars: 1-10 HOLDINGS, Inc. (Private Investment) [ID:0497a3d]",Economy
978,Funding In US Dollars: 1-Dimension Innovate (Private Investment) [ID:c247b44],Economy
979,Funding In US Dollars: 1-Dimension Innovate (Private Investment) [ID:e796144],Economy
980,"Funding In US Dollars: 101 Commerce, Inc. (Private Investment) [ID:3fbd270]",Economy
981,"Funding In US Dollars: 101 Commerce, Inc. (Private Investment) [ID:5948780]",Economy
982,"Funding In US Dollars: 10XTS, Inc. (Private Investment) [ID:0b4333d]",Economy
983,"Funding In US Dollars: 10XTS, Inc. (Private Investment) [ID:d19a485]",Economy
984,Funding In US Dollars: 10x Future Technologies Limited (Private Investment) [ID:aceb45b],Economy
985,Funding In US Dollars: 10x Future Technologies Limited (Private Investment) [ID:c9edc0b],Economy
986,Funding In US Dollars: 12 Sigma Technologies (Private Investment) [ID:6afd662],Economy
987,Funding In US Dollars: 12grapes GmbH (Private Investment) [ID:12f9295],Economy
988,Funding In US Dollars: 12grapes GmbH (Private Investment) [ID:34570d3],Economy
989,Funding In US Dollars: 17 Shan Dian (Private Investment) [ID:310be67],Economy
990,Funding In US Dollars: 17 Shan Dian (Private Investment) [ID:e3c7eac],Economy
991,Funding In US Dollars: 18th Floor Onlinemedia GmbH (Private Investment) [ID:3da1489],Economy
992,Funding In US Dollars: 18th Floor Onlinemedia GmbH (Private Investment) [ID:6d42af1],Economy
993,Funding In US Dollars: 1sec Inc. (Private Investment) [ID:057406f],Economy
994,Funding In US Dollars: 2021.AI (Private Investment) [ID:0ea992e],Economy
995,Funding In US Dollars: 2021.AI (Private Investment) [ID:1ab61cb],Economy
996,Funding In US Dollars: 2021.AI (Private Investment) [ID:c42dd50],Economy
997,Funding In US Dollars: 2021.AI (Private Investment) [ID:e679143],Economy
998,Funding In US Dollars: 214 Technologies Inc. (Private Investment) [ID:dc23b7a],Economy
999,Funding In US Dollars: 214 Technologies Inc. (Private Investment) [ID:ddfd874],Economy
1000,Funding In US Dollars: 24metrics (Private Investment) [ID:1553a68],Economy
1001,Funding In US Dollars: 2591046 Ontario Corp. (Private Investment) [ID:9cadab6],Economy
1002,"Funding In US Dollars: 2HZ,INC. (Private Investment) [ID:366992e]",Economy
1003,"Funding In US Dollars: 2HZ,INC. (Private Investment) [ID:9ec9715]",Economy
1004,"Funding In US Dollars: 317 Labs, Inc. (Private Investment) [ID:5a373b6]",Economy
1005,"Funding In US Dollars: 317 Labs, Inc. (Private Investment) [ID:d72a44e]",Economy
1006,"Funding In US Dollars: 365Talents, SAS (Private Investment) [ID:9ff1f81]",Economy
1007,"Funding In US Dollars: 3DLOOK, LLC (Private Investment) [ID:76fdcae]",Economy
1008,"Funding In US Dollars: 3DLOOK, LLC (Private Investment) [ID:7f45481]",Economy
1009,Funding In US Dollars: 3rdFlix (Practically) (Private Investment) [ID:630d6a6],Economy
1010,Funding In US Dollars: 3rdFlix (Practically) (Private Investment) [ID:8afaa02],Economy
1011,"Funding In US Dollars: 42Maru, Inc. (Private Investment) [ID:137070f]",Economy
1012,Funding In US Dollars: 4G Capital (Private Investment) [ID:09b72e9],Economy
1013,Funding In US Dollars: 51World (Private Investment) [ID:a83b24a],Economy
1014,Funding In US Dollars: 52CX (Private Investment) [ID:a1b4b25],Economy
1015,Funding In US Dollars: 5Analytics GmbH (Private Investment) [ID:b512056],Economy
1016,Funding In US Dollars: 5x5 Technologies Inc (Private Investment) [ID:8ca7d7a],Economy
1017,Funding In US Dollars: 5x5 Technologies Inc (Private Investment) [ID:e9d00dd],Economy
1018,"Funding In US Dollars: 6 River Systems, Inc. (Merger/Acquisition) [ID:ca071a1]",Economy
1019,"Funding In US Dollars: 6 River Systems, Inc. (Private Investment) [ID:06170ba]",Economy
1020,"Funding In US Dollars: 6 River Systems, Inc. (Private Investment) [ID:8f0a297]",Economy
1021,"Funding In US Dollars: 6 River Systems, Inc. (Private Investment) [ID:d1ed08b]",Economy
1022,Funding In US Dollars: 6d bytes inc. (Private Investment) [ID:84b6694],Economy
1023,"Funding In US Dollars: 75F, LLC (Private Investment) [ID:22e55bb]",Economy
1024,Funding In US Dollars: 7984391 Canada Inc. (Private Investment) [ID:aa96c8e],Economy
1025,Funding In US Dollars: 7SENS Limited (Private Investment) [ID:3558a09],Economy
1026,Funding In US Dollars: 8 Securities Inc. (Private Investment) [ID:aca12e3],Economy
1027,"Funding In US Dollars: 80 Acres Urban Agriculture, Inc. (Private Investment) [ID:ce70cd4]",Economy
1028,"Funding In US Dollars: 9 Dozen ML, Inc (Private Investment) [ID:3e67b06]",Economy
1029,Funding In US Dollars: 9066713 Canada Inc. (Private Investment) [ID:a470a6c],Economy
1030,Funding In US Dollars: 91360 Med Tech (Private Investment) [ID:e8f41bf],Economy
1031,Funding In US Dollars: 9813063 Canada Inc. (Private Investment) [ID:ce9b57b],Economy
1032,Funding In US Dollars: 9signals (Private Investment) [ID:e8cc8d4],Economy
1033,"Funding In US Dollars: @RISK Technologies, Inc. (Private Investment) [ID:6b5d7f8]",Economy
1034,"Funding In US Dollars: A.I. Squared, Inc. (Private Investment) [ID:de0d4b4]",Economy
1035,Funding In US Dollars: A.L.I. Technologies Inc. (Private Investment) [ID:3aeb117],Economy
1036,Funding In US Dollars: A.P.E.R.I.O. Ltd. (Private Investment) [ID:312ecbc],Economy
1037,Funding In US Dollars: A4E Ltd. (Private Investment) [ID:5331075],Economy
1038,Funding In US Dollars: ABC Clinic (Private Investment) [ID:2ec55bd],Economy
1039,"Funding In US Dollars: ABEJA, Inc. (Private Investment) [ID:27b0b68]",Economy
1040,"Funding In US Dollars: ABEJA, Inc. (Private Investment) [ID:2b14b79]",Economy
1041,"Funding In US Dollars: ABEJA, Inc. (Private Investment) [ID:cdc08a4]",Economy
1042,Funding In US Dollars: ACCENTA SAS (Private Investment) [ID:4e8e371],Economy
1043,Funding In US Dollars: ACCENTA SAS (Private Investment) [ID:cc2b080],Economy
1044,Funding In US Dollars: ACOINFO (Private Investment) [ID:5b8b967],Economy
1045,Funding In US Dollars: ACTION.AI (Private Investment) [ID:9986f79],Economy
1046,Funding In US Dollars: ACTO (Private Investment) [ID:85f3b45],Economy
1047,Funding In US Dollars: ACTO (Private Investment) [ID:aa9796e],Economy
1048,Funding In US Dollars: ACTO (Private Investment) [ID:d12b51e],Economy
1049,Funding In US Dollars: ADEXT Inc. (Private Investment) [ID:00b731e],Economy
1050,Funding In US Dollars: ADJ Utility Apps Pvt. Ltd. (Private Investment) [ID:1b668d1],Economy
1051,Funding In US Dollars: ADJ Utility Apps Pvt. Ltd. (Private Investment) [ID:c38bbb3],Economy
1052,"Funding In US Dollars: ADM Diagnostics, Inc. (Private Investment) [ID:4e87adc]",Economy
1053,Funding In US Dollars: ADTYPE (Private Investment) [ID:b77d103],Economy
1054,Funding In US Dollars: AELER Technologies SA (Private Investment) [ID:713b130],Economy
1055,"Funding In US Dollars: AEye, Inc. (Private Investment) [ID:104610d]",Economy
1056,"Funding In US Dollars: AEye, Inc. (Private Investment) [ID:d288939]",Economy
1057,Funding In US Dollars: AFA Finance (Private Investment) [ID:e9e59ed],Economy
1058,Funding In US Dollars: AI Bird UAV (Private Investment) [ID:3c49a11],Economy
1059,"Funding In US Dollars: AI Buddy, Inc. (Private Investment) [ID:d17c160]",Economy
1060,"Funding In US Dollars: AI Buddy, Inc. (Private Investment) [ID:fec942e]",Economy
1061,Funding In US Dollars: AI CROSS Inc. (Private Investment) [ID:7e7ee22],Economy
1062,Funding In US Dollars: AI CROSS Inc. (Public Offering) [ID:ca34253],Economy
1063,Funding In US Dollars: AI Clearing (Private Investment) [ID:20a7464],Economy
1064,Funding In US Dollars: AI Dexian Zhaopin Guan (Private Investment) [ID:211c4c6],Economy
